mql_id,seller_id,sdr_id,sr_id,won_date,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue,origin
67c34b9630469b3c13b7982316ffe7a1,6e985a12b7b98f0a15b7bf90cc882f61,56bf83c4bb35763a51c2baab501b4c67,c638112b43f1d1b86dcabb0da720c901,2018-01-22 13:18:32,home_office_furniture,industry,nan,,,,reseller,,0.0,
5290b66ff9e0c1115614365d8e20f10c,ab2a1539d7cdbddcfb6b568447ed767d,9749123c950bf8363ace42cb1c2d0815,495d4e95a8cf8bbf8b432b612a2aa328,2018-08-17 14:41:00,party,online_medium,cat,True,True,,reseller,500.0,20000.0,
d2ac71782272659e7171150d20d59158,3387acafd8bea46d73fc50cc9f7e2a9a,34d40cdaf94010a1d05b0d6212f9e909,2695de1affa7750089c0455f8ce27021,2018-05-15 21:17:04,computers,online_big,cat,,,,reseller,,0.0,
f5baaf0afe419681731ec3d30dafd954,fb6e76ca64c0cc2c2dee53219e685f4b,4b339f9567d060bcea4f5136b9f5949e,d3d1e91a157ea7f90548eef82f1955e3,2018-05-10 19:26:38,games_consoles,online_big,cat,,,,reseller,,0.0,
2b35567523c67c1a9c32ef101ae7bc73,7dd3be74c6cd6800d809935ff47bd3bf,9e4d1098a3b0f5da39b0bc48f9876645,fbf4aef3f6915dc0c3c97d6812522f6a,2018-03-21 13:03:40,health_beauty,offline,cat,,,,manufacturer,,0.0,
d62e62abe24dcaa94f9e1b3678477b51,c611f4ce9ce875bcc063fa97fd4d7d12,4b339f9567d060bcea4f5136b9f5949e,85fc447d336637ba1df43e793199fbc8,2018-03-19 20:39:25,construction_tools_house_garden,online_medium,cat,,,,manufacturer,,0.0,
61681a30d47dc8b1ec5180ccdec26ba5,4a4da369ad50f14d48337aa52eb826f5,068066e24f0c643eb1d089c7dd20cd73,6565aa9ce3178a5caf6171827af3a9ba,2018-01-29 15:09:03,health_beauty,online_medium,nan,,,,reseller,,0.0,
33ce1e734d9d50629fa2c36769285d53,53be10ff134691e94a4089b41c75874f,2b63542749aa9caf15f21816da1db341,d3d1e91a157ea7f90548eef82f1955e3,2018-09-11 13:14:37,construction_tools_house_garden,online_small,wolf,True,True,,reseller,400.0,130000.0,
a6bf24ce0939b46b6536e02a3d244cc3,ba87e2cbb33c1412290b8ccc37301672,4b339f9567d060bcea4f5136b9f5949e,060c0a26f19f4d66b42e0d8796688490,2018-03-07 14:58:07,food_drink,industry,wolf,,,,manufacturer,,0.0,
baf5ecd84c6a8766519b98f66eec1511,e5d7bbbca541b3b39e1649f94074b963,b90f87164b5f8c2cfa5c8572834dbe3f,4ef15afb4b2723d8f3d81e51ec7afefe,2018-06-11 21:01:55,health_beauty,online_big,cat,,,,reseller,,0.0,
66ff0b5dbb060ef47f756d33cf170f97,dc50afafdfa325eadc890c7fa42a8f4e,4b339f9567d060bcea4f5136b9f5949e,fbf4aef3f6915dc0c3c97d6812522f6a,2018-04-30 18:57:37,audio_video_electronics,online_big,cat,,,,reseller,,0.0,
1785cff273aedbd875c814b46928ad7f,213fafb0ca06fb3d5886579c2565791b,4b339f9567d060bcea4f5136b9f5949e,6565aa9ce3178a5caf6171827af3a9ba,2018-05-17 18:11:29,audio_video_electronics,online_big,cat,,,,reseller,,0.0,
9542f2f27285580fe8d6aa82e179ed28,a359ed4a476430e29909d1415ecacb1d,de63de0d10a6012430098db33c679b0b,6565aa9ce3178a5caf6171827af3a9ba,2018-01-19 13:12:10,home_decor,online_medium,nan,,,,reseller,,0.0,
6c1f11f779599fe6d280c41d644ed43b,0cab2da43793a6f3c5ed8514c5f54627,4b339f9567d060bcea4f5136b9f5949e,56bf83c4bb35763a51c2baab501b4c67,2018-04-05 16:29:23,bags_backpacks,offline,cat,,,,reseller,,0.0,
